Window_ID,Narrative_Progress,Valence_RF_Smooth,Arousal_RF_Smooth,Dominance_RF_Smooth,VAD_range,Convergence,Entrapment,Entr_Index,Episode_ID,Center_Sentence
1,0.0,0.1034929700734048,-0.1187106380575946,-0.1326279107848674,0.2361208808582722,0,1,3.93126063408327,1,"He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections."
2,0.0013037809647979,0.105047377752682,-0.1060032128740824,-0.1071350310559007,0.2121824088085827,0,1,3.4635734355710945,1,The bedding was hardly able to cover it and seemed ready to slide off any moment.
3,0.0026075619295958,0.1062724861957264,-0.0938208071562305,-0.0833197066777616,0.2000932933519569,0,1,3.026662327116967,1,"His many legs, pitifully thin compared with the size of the rest of him, waved about helplessly as he looked."
8,0.0091264667535853,0.1074585398674551,-0.0407840705518737,0.0105935849505186,0.1482426104193288,1,0,1.3037481357170753,0,"It showed a lady fitted out with a fur hat and fur boa who sat upright, raising a heavy fur muff that covered the whole of her lower arm towards the viewer."
9,0.0104302477183833,0.1067078528931022,-0.031751781627983,0.0243435772236917,0.1384596345210852,1,0,1.051493567611244,0,Gregor then turned to look out the window at the dull weather.
10,0.0117340286831812,0.1056278666825165,-0.0232445121697524,0.036416014146037,0.1288723788522689,1,0,0.9574138073466671,0,"Drops of rain could be heard hitting the pane, which made him feel quite sad."
11,0.0130378096479791,0.1042185812356966,-0.0152622621771819,0.0468108957175541,0.11948084341287851,1,0,0.9525704355931572,0,"“How about if I sleep a little bit longer and forget all this nonsense”, he thought, but that was something he was unable to do because he was used to sleeping on his right, and in his present state couldn’t get into that position."
12,0.014341590612777,0.0915013206930357,-0.0002144458973521,0.0647417391304339,0.0917157665903878,1,0,0.9739887546283488,0,"However hard he threw himself onto his right, he always rolled back to where he was."
13,0.0156453715775749,0.0976311278195476,0.0170602222948673,0.0777434880679951,0.0805709055246803,1,0,1.137685346387399,0,"He must have tried it a hundred times, shut his eyes so that he wouldn’t have to look at the floundering legs, and only stopped when he began to feel a mild, dull pain there that he had never felt before."
14,0.0169491525423728,0.0963797678980046,0.024168839490029,0.0751188983327875,0.0722109284079756,1,0,1.3513528536261468,0,"“Oh, God”, he thought, “what a strenuous career it is that I’ve chosen!"
