Window_ID,Narrative_Progress,Valence_Ridge_Smooth,Arousal_Ridge_Smooth,Dominance_Ridge_Smooth,VAD_range,Convergence,Entrapment,Entr_Index,Episode_ID,Center_Sentence
1,0.0,-0.6314650481237594,-0.364248935417191,-0.5659948135334384,0.26721611270656837,0,1,6.829960173070467,1,"He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections."
2,0.0013037809647979,-0.5508827171740159,-0.3571190678555035,-0.5389207144108522,0.19376364931851242,0,1,6.181433739751005,1,The bedding was hardly able to cover it and seemed ready to slide off any moment.
3,0.0026075619295958,-0.4764563510555504,-0.3491274284575242,-0.5123011581442728,0.1631737296867486,0,1,5.569644436528965,1,"His many legs, pitifully thin compared with the size of the rest of him, waved about helplessly as he looked."
4,0.0039113428943937,-0.4081859497683629,-0.3402740172232529,-0.4861361447337003,0.14586212751044741,1,1,4.99459226340435,1,“What’s happened to me?” he thought.
5,0.0052151238591916,-0.3460715133124534,-0.3305588341526899,-0.4604256741791347,0.12986684002644483,1,1,4.456277220377159,1,It wasn’t a dream.
6,0.0065189048239895,-0.2901130416878218,-0.3199818792458349,-0.4351697464805759,0.14505670479275407,1,1,3.954699307447391,1,"His room, a proper human room although a little too small, lay peacefully between its four familiar walls."
7,0.0078226857887874,-0.2403105348944682,-0.3085431525026881,-0.410368361638024,0.1700578267435558,0,1,3.4898585246150464,1,"A collection of textile samples lay spread out on the table—Samsa was a travelling salesman—and above it there hung a picture that he had recently cut out of an illustrated magazine and housed in a nice, gilded frame."
13,0.0156453715775749,-0.0739346314398194,-0.1652595163555871,-0.2203699313810456,0.1464352999412262,1,0,1.086702392120545,0,"He must have tried it a hundred times, shut his eyes so that he wouldn’t have to look at the floundering legs, and only stopped when he began to feel a mild, dull pain there that he had never felt before."
14,0.0169491525423728,-0.0854058989895123,-0.1265765457928905,-0.2005123628176122,0.1151064638280999,1,0,0.9908558581273795,0,"“Oh, God”, he thought, “what a strenuous career it is that I’ve chosen!"
15,0.0182529335071707,-0.1412061024536356,-0.0640808105561295,-0.1963007659360561,0.1322199553799266,1,0,1.5907308079621334,0,Travelling day in and day out.
21,0.0260756192959582,-0.2867303650147859,-0.1424224242024854,-0.1603481823169881,0.14430794081230047,1,0,1.7556115577451497,0,You’ve got to get enough sleep.
30,0.0378096479791395,-0.1665970542376469,-0.0780962014539768,-0.0300330227802936,0.1365640314573533,1,0,1.0443328589453897,0,That’s when I’ll make the big change.
31,0.0391134289439374,-0.0818172240965137,-0.0987800779932353,-0.0453422471805402,0.05343783081269509,1,0,0.4530355975363925,0,"First of all though, I’ve got to get up, my train leaves at five.”"
32,0.0404172099087353,0.0075176295143286,-0.1345608018243674,-0.0470398107361518,0.142078431338696,1,0,0.0,0,"And he looked over at the alarm clock, ticking on the chest of drawers."
44,0.0560625814863103,-0.1819840489669604,-0.1081521715420818,-0.2353647472315548,0.12721257568947297,1,0,1.832474283543362,0,But that would be extremely strained and suspicious as in five years of service Gregor had never once yet been ill.
45,0.0573663624511082,-0.171504572013025,-0.10212697768258,-0.2029652743995769,0.1008382967169969,1,0,1.5583001195471753,0,"His boss would certainly come round with the doctor from the medical insurance company, accuse his parents of having a lazy son, and accept the doctor’s recommendation not to make any claim as the doctor believed that no-one was ever ill but that many were workshy."
46,0.0586701434159061,-0.1926365056954698,-0.0799072808785468,-0.1846374742365223,0.112729224816923,1,0,1.671642075648958,0,"And what’s more, would he have been entirely wrong in this case?"
47,0.059973924380704,-0.181470794490198,-0.0779003514261281,-0.1646692040612296,0.10357044306406991,1,0,1.4661916998828537,0,"Gregor did in fact, apart from excessive sleepiness after sleeping for so long, feel completely well and even felt much hungrier than usual."
48,0.0612777053455019,-0.1336295823443296,-0.0750448385277286,-0.1222786837729027,0.05858474381660099,1,0,0.8909669526707678,0,"He was still hurriedly thinking all this through, unable to decide to get out of the bed, when the clock struck quarter to seven."
49,0.0625814863102998,-0.0891388823399561,-0.0773633999440075,-0.0988424964268606,0.021479096482853108,1,0,0.6322540218297519,0,There was a cautious knock at the door near his head.
